m	n	lambda	sq_lambda	C
5	8	32.60489643694253	1063.079271663748	1.4557552818273242e-14
5	9	35.779048166973475	1280.140287734608	-5.880074464995353e-16
5	10	38.94803339463944	1516.9493053099488	2.4009613608844428e-17
5	11	42.11300123439771	1773.5048729683829	-9.88645116793869e-19
5	12	45.274781153002564	2049.8058084522763	4.0981533349091306e-20
5	13	48.43398757887054	2345.851152790186	-1.7079149678544014e-21
5	14	51.59108572654811	2661.640126444036	7.149071323720171e-23
5	15	54.74643451881878	2997.1720925233126	-3.0033859398732933e-24
5	16	57.900315434147586	3352.446527373789	1.2655946890708219e-25
5	17	61.05295240609503	3727.462997500905	-5.3468341737651394e-27
5	18	64.20452586515908	4122.221141569882	2.263881731733881e-28
5	19	67.3551828470603	4536.720656360927	-9.603567142961685e-30
5	20	70.50504439946913	4970.961285771113	4.080597976658856e-31
5	21	73.65421109588061	5424.9428121565425	-1.7363474764839954e-32
5	22	76.8027671993339	5898.665049475079	7.397672497334211e-34
5	23	79.95078384743812	6392.127837819772	-3.1552598995637773e-35
5	24	83.09832151754057	6905.331039032546	1.347107833641776e-36
5	25	86.24543195532846	7438.27453316119	-5.756391006153855e-38
5	26	89.39215969859923	7990.958215579868	2.4617216355217997e-39
5	27	92.53854329215477	8563.381994634003	-1.0534981456885e-40
5	28	95.68461626459873	9155.545789703512	4.5113316363573577e-42
5	29	98.83040791982587	9767.44952959918	-1.932972407709998e-43
6	0	6.812294103253471	46.407350949222014	0.012374991598408132
6	1	11.045689639970096	122.0072596225427	-0.00010741048269129
6	2	14.53895527065769	211.38122036218502	2.3416886489813176e-06
6	3	17.888201749457412	319.98776182929123	-6.628061755549691e-08
6	4	21.171231428640585	448.22104020505884	2.138701418797591e-09
6	5	24.41653051415354	596.1669623485909	-7.454053592604784e-11
6	6	27.637843282550083	763.8503813107988	2.7302310712279764e-12
6	7	30.84281234711584	951.2790734794012	-1.0346172641176994e-13
6	8	34.03608621295172	1158.4551646954824	4.017460807830542e-15
6	9	37.22067662009989	1385.3787680580504	-1.58850670339764e-16
6	10	40.39862980286467	1632.0492899489054	6.3684588847844655e-18
6	11	43.571388905123634	1898.465931121531	-2.5809287334592456e-19
6	12	46.7400030223957	2184.627882533559	1.0550196947468153e-20
6	13	49.90525421539523	2490.5343983032235	-4.342877863336726e-22
6	14	53.067738012150734	2816.1848177262677	1.797987544668777e-23
6	15	56.22791625426192	3161.5785662962917	-7.479439527767193e-25
6	16	59.386152835571565	3526.7151486098646	3.12388636560012e-26
6	17	62.5427384974443	3911.594138759701	-1.3091886729899982e-27
6	18	65.69790841881591	4316.215170607123	5.502722897267728e-29
6	19	68.85185494148546	4740.5779288833555	-2.3187178097008545e-30
6	20	72.00473693734891	5184.682141416818	9.791964372222858e-32
6	21	75.15668681164736	5648.527572504048	-4.143088709925636e-33
6	22	78.30781581249306	6132.114017323338	1.7559457032662177e-34
6	23	81.45821810754096	6635.441297255714	-7.453251638340317e-36
6	24	84.60797395029985	7158.509255974618	3.167789504887189e-37
6	25	87.757152165384	7701.317756178361	-1.3479723071619423e-38
6	26	90.90581211812656	8263.866676856125	5.742044707531389e-40
6	27	94.0540052894895	8846.155910995318	-2.4483135599826345e-41
6	28	97.20177654577017	9448.185363653836	1.0448218633859876e-42
7	0	7.88877973959389	62.23284577982704	0.0064889954809149155
7	1	12.256045951652784	150.2106623690246	-4.499718191045169e-05
7	2	15.811266870270645	249.99616004291806	8.811170697828806e-07
7	3	19.201460731245188	368.69609421355096	-2.310646564287579e-08
7	4	22.51463415512276	506.90875113902035	7.032903883137049e-10
7	5	25.783372033827654	664.7822734347659	-2.340163807973614e-11
7	6	29.02355255607875	842.3666029754654	8.253890071297778e-13
7	7	32.24408987804695	1039.6813320635697	-3.0312273612723437e-14
7	8	35.450454705335495	1256.7347388150436	1.1462777198765673e-15
7	9	38.646220669721195	1493.5303720527857	-4.430825331595881e-17
7	10	41.83383388814762	1750.0696577811284	1.7418436207711254e-18
7	11	45.01503116396792	2026.353030693003	-6.939070357129088e-20
7	12	48.1910827660367	2322.3804581629993	2.7939377765544126e-21
7	13	51.36294086051806	2638.1516938410755	-1.1347421565706325e-22
7	14	54.53133414545503	2973.6664036832694	4.641792884249322e-24
7	15	57.69683032129289	3328.924229124063	-1.9101646344512812e-25
7	16	60.85987855959056	3703.924818288111	7.900374960479658e-27
7	17	64.02083911210863	4098.667840618498	-3.281649291979944e-28
7	18	67.18000441223529	4513.152992827953	1.368173353755885e-29
7	19	70.3376144060779	4947.3800003380975	-5.722409232420376e-31
7	20	73.49386788322452	5401.348616436861	2.4000869879755548e-32
